issue_key,status,resolution,custom_field_hub,conversation_start,conversation_end,duration_minutes,first_agent_response_minutes,avg_agent_response_minutes,avg_customer_response_minutes,messages_total,messages_agent,messages_customer,turns,agent_authors,customer_authors,initial_response_sla_5m,initial_response_sla_15m,agent_profanity_detected,agent_profanity_count,customer_abuse_detected,customer_abuse_count,llm_summary_250,conversation_rating,extract_customer_problem,contact_reason,contact_reason_original,agent_score,customer_score,resolved,improvement_tip,llm_model,llm_input_tokens,llm_output_tokens,llm_cost_usd
CC-41077,Done,Done,Q-Park Pimlico,2025-11-10T17:30:00+00:00,2025-11-10T19:35:00+00:00,125.00,1.00,13.00,4.15,22,9,13,12,712020:938aebe2-3534-4413-a71d-6c414201de4b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:4c0dcbdc-922b-4956-91c1-43c837094ccd,true,true,false,0,false,0,"Customer reported a bike issue with a red light and non-functional battery. After some delays, the agent confirmed the customer had completed their rental and the issue was resolved.",3,The bike was showing a red light and the battery was not working despite being fully charged.,E-bike damage issue,Info/question about my current ride,3,3,true,Respond more promptly to customer inquiries to improve satisfaction and reduce frustration.,gpt-4o-mini,1710,132,0.005595
CC-41076,Done,Done,Port Bancroft Road,2025-11-10T17:26:00+00:00,2025-11-10T19:21:00+00:00,115.00,1.00,58.33,1.50,11,5,6,4,712020:938aebe2-3534-4413-a71d-6c414201de4b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:690bfe64-c19d-4097-9094-b75b056ba95c,true,true,false,0,false,0,Customer reported a port bike found on the road. Agent acknowledged the report and offered further assistance. The chat was closed due to no response from the customer.,3,Customer reported a port bike found on the road.,E-bike lost or stolen during a rental,General complaint,4,3,false,Encourage the customer to provide more details about the bike's condition or any actions taken.,gpt-4o-mini,1320,131,0.004610
CC-41075,Done,Done,NCP Saffron Hill,2025-11-10T16:47:00+00:00,2025-11-10T17:11:00+00:00,24.00,1.00,9.33,0.00,5,4,1,2,712020:938aebe2-3534-4413-a71d-6c414201de4b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:e208f4b4-36d4-414b-92d4-4cb7c7135f72,true,true,false,0,false,0,"The customer inquired about 24/7 support availability. The agent confirmed it and offered assistance, but the customer did not respond further.",3,The customer asked if support is available 24/7.,General information request about the service,General information request about the service,4,3,false,Encourage the customer to ask follow-up questions to ensure clarity and engagement.,gpt-4o-mini,1141,125,0.004103
CC-41074,Done,Done,Q-Park Leicester Square,2025-11-10T16:44:00+00:00,2025-11-10T19:00:00+00:00,136.00,1.00,33.44,1.40,15,10,5,6,712020:938aebe2-3534-4413-a71d-6c414201de4b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:1cf81e9e-fc72-4121-8d37-d5b1f821e0b1,true,true,false,0,false,0,"The customer reported their bicycle was stolen during a rental. The agent assisted in locating the bike and confirmed it was recovered, advising the customer to lock it in the future.",4,The customer reported their bicycle was stolen.,E-bike lost or stolen during a rental,E-bike lost or stolen during a rental,4,4,true,Provide clearer instructions on locking the bike to prevent future incidents.,gpt-4o-mini,1510,130,0.005075
CC-41073,Done,Done,No active pass / Other,2025-11-10T16:31:00+00:00,2025-11-10T17:12:00+00:00,41.00,1.00,7.50,2.18,18,7,11,8,712020:8f5c3870-9bb6-4299-922f-e6f38426666b;712020:938aebe2-3534-4413-a71d-6c414201de4b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:86c4d408-891f-40d2-a481-38b03861bbf4,true,true,false,0,false,0,"Customer requested access to a sold-out hub, expressing urgency due to rain. Agent explained the situation and advised monitoring the app for availability.",3,Customer is unable to access the Queensway hub due to it being sold out.,Hub sold out,Hub sold out,4,3,false,Provide clearer guidance on alternative hubs or options while the requested hub is sold out.,gpt-4o-mini,1765,126,0.005672
CC-41072,Done,Done,Q-Park Tower Bridge,2025-11-10T16:28:00+00:00,2025-11-10T16:32:00+00:00,4.00,1.00,1.33,0.00,16,8,8,7,712020:8f5c3870-9bb6-4299-922f-e6f38426666b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:1b3234cf-d19a-421e-bcd1-c0e36d812d64,true,true,false,0,false,0,Customer reported issues with a cycle ride and requested a refund for a daily pass. Agent informed the customer that refunds are not eligible once the rental has started.,4,Customer experienced a rough cycle ride and requested a refund for a daily pass.,Request to cancel daily pass,Request to cancel daily pass,4,4,true,Provide clearer information on refund policies upfront to manage customer expectations.,gpt-4o-mini,1464,127,0.004930
CC-41071,Done,Done,NCP Vintry,2025-11-10T16:28:00+00:00,2025-11-10T17:12:00+00:00,44.00,1.00,9.22,0.44,20,11,9,6,712020:7cf03fa9-630e-4c51-976d-4cd5fc13b697;712020:8f5c3870-9bb6-4299-922f-e6f38426666b;712020:938aebe2-3534-4413-a71d-6c414201de4b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:6c0fdbac-f5de-4afa-bfe4-f29cc352e72a,true,true,false,0,false,0,"Customer requested a refund for a daily pass due to heavy rain. The agent provided cancellation policy details, processed the cancellation, and confirmed the refund.",5,Customer wants to cancel a daily pass and receive a refund due to not using the bike.,Request to cancel daily pass,Request to cancel daily pass,5,4,true,Ensure to confirm the customer's understanding of the refund timeline clearly.,gpt-4o-mini,1938,132,0.006165
CC-41070,Done,Done,Q-park Queensway,2025-11-10T16:00:00+00:00,2025-11-10T16:38:00+00:00,38.00,1.00,3.08,1.33,19,12,7,13,712020:8f5c3870-9bb6-4299-922f-e6f38426666b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:69168862-6e4c-40bb-8d45-d959be525d17,true,true,false,0,false,0,"Customer reported a punctured e-bike. Agent assisted by gathering details, ending the rental, and providing instructions for next steps.",4,The customer's e-bike had a puncture.,E-bike damage issue,E-bike damage issue,4,3,true,Encourage the customer to provide clearer details about the incident for better understanding.,gpt-4o-mini,1628,121,0.005280
CC-41069,Done,Done,NCP Saffron Hill,2025-11-10T15:59:00+00:00,2025-11-10T16:40:00+00:00,41.00,1.00,5.38,3.50,14,10,4,8,712020:8f5c3870-9bb6-4299-922f-e6f38426666b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:e208f4b4-36d4-414b-92d4-4cb7c7135f72,true,true,false,0,false,0,The customer faced an issue with QR code scanning for hub access. The agent provided troubleshooting steps but the problem persisted. The agent confirmed the rental was active before closing the chat.,3,The customer could not access the hub due to a QR code scanning issue.,Hub access or navigation issue,Hub access or navigation issue,4,3,false,Follow up with the customer to ensure the issue is resolved or provide additional troubleshooting steps.,gpt-4o-mini,1499,136,0.005108
CC-41068,Done,Done,Port Randolph Street,2025-11-10T15:30:00+00:00,2025-11-10T16:37:00+00:00,67.00,1.00,11.67,2.60,13,8,5,6,712020:8f5c3870-9bb6-4299-922f-e6f38426666b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:26e3a7c9-a0c6-4e2c-b5e8-6a130cc5a6c8,true,true,false,0,false,0,The customer wanted to buy a weekly pass at the Camden hub but found it sold out. The agent provided instructions and encouraged checking the app for availability.,3,The customer is unable to purchase a weekly pass due to it being sold out.,Hub sold out,Hub sold out,4,2,false,Encourage the customer to check back later or suggest alternative hubs with availability.,gpt-4o-mini,1509,128,0.005052
CC-41067,Done,Done,NCP Saffron Hill,2025-11-10T15:08:00+00:00,2025-11-10T15:48:00+00:00,40.00,2.00,5.83,6.25,12,8,4,5,712020:8f5c3870-9bb6-4299-922f-e6f38426666b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:e208f4b4-36d4-414b-92d4-4cb7c7135f72,true,true,false,0,false,0,Customer reported an issue accessing the hub. The agent suggested deactivating NFC on the phone. The customer later mentioned a card registration issue.,3,Customer cannot access the hub and later encounters a card registration issue.,Hub access or navigation issue,Hub access or navigation issue,3,3,false,Follow up on the card registration issue and provide clearer instructions for resolving hub access.,gpt-4o-mini,1398,126,0.004755
CC-41066,Done,Done,NCP Clerkenwell,2025-11-10T15:05:00+00:00,2025-11-10T15:26:00+00:00,21.00,2.00,9.00,0.00,6,5,1,2,712020:8f5c3870-9bb6-4299-922f-e6f38426666b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:dcc36d49-6d75-45ad-bd36-9701f5658f7b,true,true,false,0,false,0,Customer reported returning a bike late due to heavy rain. Agent advised on the return process and the rental time remaining. Chat was closed without further customer response.,4,Customer returned the bike late due to heavy rain.,Rental finish issue,Info/question about my current ride,4,3,false,Encourage the customer to communicate any delays sooner to avoid issues with bike locking.,gpt-4o-mini,1224,124,0.004300
CC-41065,Done,Done,Port Randolph Street,2025-11-10T14:40:00+00:00,2025-11-10T15:05:00+00:00,25.00,1.00,9.50,0.00,9,6,3,4,712020:8f5c3870-9bb6-4299-922f-e6f38426666b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:fc457d34-f472-4032-a1c2-194b75898f74,true,true,false,0,false,0,Customer requested a refund for a daily pass after using it for 2 hours due to rainy weather. Agent informed that refunds are not eligible once the rental starts.,3,Customer wants a refund for a daily pass after limited use.,Request to cancel daily pass,Request to cancel daily pass,4,3,false,Consider offering alternative solutions or credits for future rentals to enhance customer satisfaction.,gpt-4o-mini,1362,127,0.004675
CC-41064,Done,Done,Q-Park Pimlico,2025-11-10T14:35:00+00:00,2025-11-10T15:10:00+00:00,35.00,1.00,4.38,0.75,19,11,8,10,712020:8f5c3870-9bb6-4299-922f-e6f38426666b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:75a3a586-2bd0-483d-9849-1c33cd5d9080,true,true,false,0,false,0,Customer reported a punctured tire on their e-bike. The agent guided the customer to park the bike safely and ended the rental manually. The issue was resolved satisfactorily.,4,The customer's e-bike tire was punctured.,E-bike damage issue,E-bike damage issue,4,4,true,Consider providing more proactive follow-up questions to ensure customer satisfaction.,gpt-4o-mini,1633,127,0.005353
CC-41062,Done,Done,Q-Park Leicester Square,2025-11-10T14:23:00+00:00,2025-11-10T15:06:00+00:00,43.00,1.00,4.86,0.59,33,16,17,14,712020:7cf03fa9-630e-4c51-976d-4cd5fc13b697;712020:8f5c3870-9bb6-4299-922f-e6f38426666b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:e835e812-d2f0-4211-9c14-7ff1835bb746,true,true,false,0,false,0,"Customer updated payment method but could not access rentals. Agent escalated the issue, confirmed subscription visibility, and guided the customer to restart the app. The issue was resolved successfully.",4,Customer cannot access rentals after updating payment method.,Can't access rentals after payment,Can't access rentals after payment,4,4,true,Ensure to confirm the customer's understanding of the steps taken to resolve the issue.,gpt-4o-mini,2230,132,0.006895
CC-41061,Done,Done,Q-park Queensway,2025-11-10T14:16:00+00:00,2025-11-10T15:02:00+00:00,46.00,1.00,3.07,1.80,32,17,15,16,712020:8f5c3870-9bb6-4299-922f-e6f38426666b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:f0723d56-d60d-4f11-bb77-5de8483c142c,true,true,false,0,false,0,"The customer faced a penalty for exceeding the rental time limit. The agent explained the situation and the penalty policy, but the customer was unhappy with the charge.",3,The customer was penalized for returning the bike late and was unhappy about the £25 charge.,Rental finish issue,Info/question about my current ride,4,3,false,Consider offering a more empathetic response to the customer's frustration regarding the penalty.,gpt-4o-mini,2238,136,0.006955
CC-41060,Done,Done,Q-park Queensway,2025-11-10T14:04:00+00:00,2025-11-10T14:19:00+00:00,15.00,2.00,1.88,0.20,26,11,15,12,712020:3e48ed1c-5151-4a26-8782-c21abcf59de5;712020:8f5c3870-9bb6-4299-922f-e6f38426666b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:624facc7-a884-4cb5-8e5d-a64d6705d111,true,true,false,0,false,0,Customer was at a hub with no available passes and requested assistance. Agent informed them of high demand and advised to monitor the app for availability.,4,Customer is unable to purchase a subscription due to no passes available at the hub.,Hub sold out,Hub sold out,4,4,false,Provide more proactive suggestions for alternative hubs or options to secure a subscription.,gpt-4o-mini,1829,129,0.005863
CC-41059,Done,Done,No active pass / Other,2025-11-10T13:52:00+00:00,2025-11-10T15:19:00+00:00,87.00,1.00,12.00,1.00,15,10,5,8,712020:3e48ed1c-5151-4a26-8782-c21abcf59de5;712020:8f5c3870-9bb6-4299-922f-e6f38426666b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:3ec0c88e-2ba7-4d4d-bddb-dad070ee99a1,true,true,false,0,false,0,Customer inquired about bike rental payment timing and battery range. Agent provided detailed information on rental process and e-bike specifications.,4,Customer wanted to know about payment timing for bike rentals and battery range.,General information request about the service,General information request about the service,4,4,true,Provide a summary of key points at the end to reinforce information shared.,gpt-4o-mini,1870,122,0.005895
CC-41058,Done,Done,Q-Park Leicester Square,2025-11-10T13:49:00+00:00,2025-11-10T15:18:00+00:00,89.00,1.00,8.43,0.00,19,14,5,7,712020:3e48ed1c-5151-4a26-8782-c21abcf59de5;712020:8f5c3870-9bb6-4299-922f-e6f38426666b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:4b4587ed-16dc-4382-8429-7739b22d8e0b,true,true,false,0,false,0,Customer reported a stolen bike but later confirmed recovery. Agent provided location and unlocked the bike successfully.,5,The customer reported that their bike was stolen while locked.,E-bike lost or stolen during a rental,E-bike lost or stolen during a rental,5,5,true,Continue to provide clear location updates and ensure customer understanding.,gpt-4o-mini,1547,117,0.005038
CC-41057,Done,Done,Port Randolph Street,2025-11-10T13:47:00+00:00,2025-11-10T14:08:00+00:00,21.00,1.00,9.00,0.00,5,4,1,2,712020:3e48ed1c-5151-4a26-8782-c21abcf59de5,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:4c2e4348-ba9f-4e3b-9371-49c0238b1969,true,true,false,0,false,0,The customer initiated a chat but did not provide any specific issue or question. The agent attempted to engage but ultimately closed the chat due to lack of response.,2,The customer did not specify any problem.,Issue unknown,Issue unknown,3,1,false,Encourage the customer to provide more details about their issue early in the conversation.,gpt-4o-mini,1106,125,0.004015
CC-41056,Done,Done,Q-Park Leicester Square,2025-11-10T13:32:00+00:00,2025-11-10T13:49:00+00:00,17.00,1.00,5.40,,6,5,1,1,712020:3e48ed1c-5151-4a26-8782-c21abcf59de5,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:95fcb028-c99b-416f-a3e0-8c4d076f4def,true,true,false,0,false,0,Customer requested to lock their bike while away. Agent confirmed the bike was locked and advised the customer to refresh the app. The chat was closed after no further response from the customer.,4,Customer wanted to lock their bike remotely.,Rental pause/resume issue,Rental pause/resume issue,4,3,true,Follow up with a more engaging question to encourage customer response before closing the chat.,gpt-4o-mini,1153,129,0.004172
CC-41055,Done,Done,NCP Finsbury,2025-11-10T13:18:00+00:00,2025-11-10T13:40:00+00:00,22.00,1.00,4.20,3.44,16,7,9,7,712020:3e48ed1c-5151-4a26-8782-c21abcf59de5,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:bd85e064-3325-4a7f-bfae-44142ac27a96,true,true,false,0,true,1,"Customer reported inappropriate behavior from staff member Shiren at NCP Finsbury Square hub, including shouting and physical contact. Agent acknowledged the issue and assured follow-up.",4,Inappropriate and aggressive behavior from staff member.,Customer Feedback,General complaint,4,4,true,Ensure to provide a more detailed follow-up process to reassure the customer.,gpt-4o-mini,1577,126,0.005202
CC-41054,Done,Done,NCP Bloomsbury,2025-11-10T13:17:00+00:00,2025-11-10T13:53:00+00:00,36.00,1.00,9.17,1.00,10,6,4,5,712020:3e48ed1c-5151-4a26-8782-c21abcf59de5,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:391e5fc0-5229-45d1-8087-5dab821ebee2,true,true,false,0,false,0,Customer inquired about a discount code for a monthly subscription but was informed it was only valid for first-time users. The agent confirmed the customer's prior usage of the service.,4,Customer cannot use a discount code for a monthly subscription due to prior usage of the service.,Promotions or discounts question / issue,Promotions or discounts question / issue,4,3,false,Provide more proactive suggestions for future promotions or alternative discounts for returning customers.,gpt-4o-mini,1337,137,0.004712
CC-41053,Done,Done,ParkBee Lanark Road,2025-11-10T12:58:00+00:00,2025-11-10T13:10:00+00:00,12.00,1.00,1.25,1.25,21,12,9,10,712020:8f5c3870-9bb6-4299-922f-e6f38426666b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:a46b9c40-ad99-4e31-8da1-7f4269b30117,true,true,false,0,false,0,The customer requested to cancel their weekly subscription due to distance. The agent provided cancellation steps and confirmed the cancellation successfully.,5,Customer wants to cancel their weekly subscription.,Request to cancel weekly subscription,Request to cancel weekly subscription,5,4,true,Consider confirming the cancellation process earlier to reassure the customer.,gpt-4o-mini,1865,111,0.005772
CC-41052,Done,Done,No active pass / Other,2025-11-10T12:48:00+00:00,2025-11-10T12:57:00+00:00,9.00,1.00,1.62,0.60,14,9,5,9,712020:8f5c3870-9bb6-4299-922f-e6f38426666b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:4d525006-6e2d-4650-8079-14e5386761a4,true,true,false,0,false,0,The customer inquired about changing an e-bike if the battery runs low and what to do in case of theft. The agent provided clear instructions for both scenarios.,5,The customer wanted to know about changing an e-bike with a low battery and theft procedures.,E-bike damage issue,General information request about the service,5,5,true,Consider providing a brief summary of key points at the end of the conversation for clarity.,gpt-4o-mini,1489,139,0.005113
CC-41051,Done,Done,Q-Park Leicester Square,2025-11-10T12:22:00+00:00,2025-11-10T12:44:00+00:00,22.00,1.00,2.75,0.40,20,10,10,10,712020:8f5c3870-9bb6-4299-922f-e6f38426666b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:c0aa844c-e464-49c6-afa9-22d563169a9c,true,true,false,0,false,0,"Customer inquired about a refund not received after 7 days. Agent clarified that a transaction was reversed, not refunded, and advised contacting the bank for further assistance.",3,Customer has not received their refund after 7 days.,Refund request,Refund request,4,3,false,Provide clearer communication about transaction types and expected timelines to avoid customer confusion.,gpt-4o-mini,1863,124,0.005897
CC-41050,Done,Done,Port Marcon Place,2025-11-10T12:19:00+00:00,2025-11-10T12:43:00+00:00,24.00,1.00,3.90,0.67,24,12,12,11,712020:3e48ed1c-5151-4a26-8782-c21abcf59de5;712020:7cf03fa9-630e-4c51-976d-4cd5fc13b697,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:656d9705-51dc-4f26-9fe6-aea8e5c55a0c,true,true,false,0,false,0,"The customer faced issues with locking their bike via the app, leading to frustration. The agent confirmed the lock was successful but suggested app reinstallation for clarity.",3,The customer was unable to lock their bike using the app.,Rental pause/resume issue,Rental pause/resume issue,4,2,true,Maintain a calm tone and avoid defensive language when addressing customer concerns.,gpt-4o-mini,1883,125,0.005958
CC-41049,Done,Done,No active pass / Other,2025-11-10T12:18:00+00:00,2025-11-10T12:38:00+00:00,20.00,1.00,7.75,0.50,8,6,2,2,712020:8f5c3870-9bb6-4299-922f-e6f38426666b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:fed9ff58-0687-4055-b835-b3bd7a3c3746,true,true,false,0,false,0,Customer reported inability to scan bike despite paying for a weekly subscription. Agent informed customer of no active subscription and suggested repurchase.,3,Customer cannot scan bike due to no active subscription.,Rental start issue,Rental start issue,3,3,false,Clarify subscription status more thoroughly and guide the customer on how to purchase a new subscription.,gpt-4o-mini,1264,124,0.004400
